Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,todostodo.csproj,File,Program.cs,116,4,M:Microsoft.AspNetCore.Authentication.JwtBearer.JwtBearerEvents.#ctor,,,,,"options.Events = new JwtBearerEvents     {         OnMessageReceived = context =>         {             if (context.Request.Headers.ContainsKey(""Sec-WebSocket-Protocol"") &&                 context.HttpContext.WebSockets.IsWebSocketRequest)             {                 var header = context.Request.Headers[""Sec-WebSocket-Protocol""].ToString();                 var newHeader = header;                 foreach (var s in header.Split(','))                 {                     if (s.Trim().StartsWith(""Bearer-""))                     {                         context.Token = s.Trim().Substring(7);                         newHeader = String.Join("", "", newHeader.Split("","").Where(x => x != s).ToArray());                         break;                     }                 }                  context.Request.Headers[""Sec-WebSocket-Protocol""] = newHeader;             }              return Task.CompletedTask;         },         OnTokenValidated = async context =>         {             var name = context.Principal.Claims.Where(x => x.Type == ClaimTypes.Name).FirstOrDefault().Value;             var userManager = context.HttpContext.RequestServices.GetService<UserManager<ApplicationUser>>();             var user = await userManager.FindByIdAsync(name);              if (user == null)             {                 context.Fail(""Invalid token"");             }             else             {                 context.HttpContext.Items[""User""] = user;             }         }     };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,todostodo.csproj,File,Program.cs,116,4,T:Microsoft.AspNetCore.Authentication.JwtBearer.JwtBearerEvents,,,,,"options.Events = new JwtBearerEvents     {         OnMessageReceived = context =>         {             if (context.Request.Headers.ContainsKey(""Sec-WebSocket-Protocol"") &&                 context.HttpContext.WebSockets.IsWebSocketRequest)             {                 var header = context.Request.Headers[""Sec-WebSocket-Protocol""].ToString();                 var newHeader = header;                 foreach (var s in header.Split(','))                 {                     if (s.Trim().StartsWith(""Bearer-""))                     {                         context.Token = s.Trim().Substring(7);                         newHeader = String.Join("", "", newHeader.Split("","").Where(x => x != s).ToArray());                         break;                     }                 }                  context.Request.Headers[""Sec-WebSocket-Protocol""] = newHeader;             }              return Task.CompletedTask;         },         OnTokenValidated = async context =>         {             var name = context.Principal.Claims.Where(x => x.Type == ClaimTypes.Name).FirstOrDefault().Value;             var userManager = context.HttpContext.RequestServices.GetService<UserManager<ApplicationUser>>();             var user = await userManager.FindByIdAsync(name);              if (user == null)             {                 context.Fail(""Invalid token"");             }             else             {                 context.HttpContext.Items[""User""] = user;             }         }     };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,todostodo.csproj,File,Program.cs,116,4,P:Microsoft.AspNetCore.Authentication.JwtBearer.JwtBearerOptions.Events,,,,,"options.Events = new JwtBearerEvents     {         OnMessageReceived = context =>         {             if (context.Request.Headers.ContainsKey(""Sec-WebSocket-Protocol"") &&                 context.HttpContext.WebSockets.IsWebSocketRequest)             {                 var header = context.Request.Headers[""Sec-WebSocket-Protocol""].ToString();                 var newHeader = header;                 foreach (var s in header.Split(','))                 {                     if (s.Trim().StartsWith(""Bearer-""))                     {                         context.Token = s.Trim().Substring(7);                         newHeader = String.Join("", "", newHeader.Split("","").Where(x => x != s).ToArray());                         break;                     }                 }                  context.Request.Headers[""Sec-WebSocket-Protocol""] = newHeader;             }              return Task.CompletedTask;         },         OnTokenValidated = async context =>         {             var name = context.Principal.Claims.Where(x => x.Type == ClaimTypes.Name).FirstOrDefault().Value;             var userManager = context.HttpContext.RequestServices.GetService<UserManager<ApplicationUser>>();             var user = await userManager.FindByIdAsync(name);              if (user == null)             {                 context.Fail(""Invalid token"");             }             else             {                 context.HttpContext.Items[""User""] = user;             }         }     };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,todostodo.csproj,File,Program.cs,107,4,P:Microsoft.AspNetCore.Authentication.JwtBearer.JwtBearerOptions.TokenValidationParameters,,,,,"options.TokenValidationParameters = new TokenValidationParameters()     {         ValidateIssuer = true,         ValidateAudience = true,         ValidAudience = AuthOptions.AUDIENCE,         ValidIssuer = AuthOptions.ISSUER,         IssuerSigningKey = AuthOptions.GetSymmetricSecurityKey()     };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,todostodo.csproj,File,Program.cs,106,4,P:Microsoft.AspNetCore.Authentication.JwtBearer.JwtBearerOptions.RequireHttpsMetadata,,,,,options.RequireHttpsMetadata = false;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,todostodo.csproj,File,Program.cs,105,4,P:Microsoft.AspNetCore.Authentication.JwtBearer.JwtBearerOptions.SaveToken,,,,,options.SaveToken = true;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,todostodo.csproj,File,Program.cs,103,0,T:Microsoft.Extensions.DependencyInjection.JwtBearerExtensions,,,,,"authenticationBuilder.AddJwtBearer(options => {     options.SaveToken = true;     options.RequireHttpsMetadata = false;     options.TokenValidationParameters = new TokenValidationParameters()     {         ValidateIssuer = true,         ValidateAudience = true,         ValidAudience = AuthOptions.AUDIENCE,         ValidIssuer = AuthOptions.ISSUER,         IssuerSigningKey = AuthOptions.GetSymmetricSecurityKey()     };      options.Events = new JwtBearerEvents     {         OnMessageReceived = context =>         {             if (context.Request.Headers.ContainsKey(""Sec-WebSocket-Protocol"") &&                 context.HttpContext.WebSockets.IsWebSocketRequest)             {                 var header = context.Request.Headers[""Sec-WebSocket-Protocol""].ToString();                 var newHeader = header;                 foreach (var s in header.Split(','))                 {                     if (s.Trim().StartsWith(""Bearer-""))                     {                         context.Token = s.Trim().Substring(7);                         newHeader = String.Join("", "", newHeader.Split("","").Where(x => x != s).ToArray());                         break;                     }                 }                  context.Request.Headers[""Sec-WebSocket-Protocol""] = newHeader;             }              return Task.CompletedTask;         },         OnTokenValidated = async context =>         {             var name = context.Principal.Claims.Where(x => x.Type == ClaimTypes.Name).FirstOrDefault().Value;             var userManager = context.HttpContext.RequestServices.GetService<UserManager<ApplicationUser>>();             var user = await userManager.FindByIdAsync(name);              if (user == null)             {                 context.Fail(""Invalid token"");             }             else             {                 context.HttpContext.Items[""User""] = user;             }         }     }; });"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,todostodo.csproj,File,Program.cs,103,0,"M:Microsoft.Extensions.DependencyInjection.JwtBearerExtensions.AddJwtBearer(Microsoft.AspNetCore.Authentication.AuthenticationBuilder,System.Action{Microsoft.AspNetCore.Authentication.JwtBearer.JwtBearerOptions})",,,,,"authenticationBuilder.AddJwtBearer(options => {     options.SaveToken = true;     options.RequireHttpsMetadata = false;     options.TokenValidationParameters = new TokenValidationParameters()     {         ValidateIssuer = true,         ValidateAudience = true,         ValidAudience = AuthOptions.AUDIENCE,         ValidIssuer = AuthOptions.ISSUER,         IssuerSigningKey = AuthOptions.GetSymmetricSecurityKey()     };      options.Events = new JwtBearerEvents     {         OnMessageReceived = context =>         {             if (context.Request.Headers.ContainsKey(""Sec-WebSocket-Protocol"") &&                 context.HttpContext.WebSockets.IsWebSocketRequest)             {                 var header = context.Request.Headers[""Sec-WebSocket-Protocol""].ToString();                 var newHeader = header;                 foreach (var s in header.Split(','))                 {                     if (s.Trim().StartsWith(""Bearer-""))                     {                         context.Token = s.Trim().Substring(7);                         newHeader = String.Join("", "", newHeader.Split("","").Where(x => x != s).ToArray());                         break;                     }                 }                  context.Request.Headers[""Sec-WebSocket-Protocol""] = newHeader;             }              return Task.CompletedTask;         },         OnTokenValidated = async context =>         {             var name = context.Principal.Claims.Where(x => x.Type == ClaimTypes.Name).FirstOrDefault().Value;             var userManager = context.HttpContext.RequestServices.GetService<UserManager<ApplicationUser>>();             var user = await userManager.FindByIdAsync(name);              if (user == null)             {                 context.Fail(""Invalid token"");             }             else             {                 context.HttpContext.Items[""User""] = user;             }         }     }; });"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,todostodo.csproj,File,Program.cs,99,4,T:Microsoft.AspNetCore.Authentication.JwtBearer.JwtBearerDefaults,,,,,options.DefaultScheme = JwtBearerDefaults.AuthenticationScheme;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,todostodo.csproj,File,Program.cs,99,4,F:Microsoft.AspNetCore.Authentication.JwtBearer.JwtBearerDefaults.AuthenticationScheme,,,,,options.DefaultScheme = JwtBearerDefaults.AuthenticationScheme;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,todostodo.csproj,File,Program.cs,98,4,T:Microsoft.AspNetCore.Authentication.JwtBearer.JwtBearerDefaults,,,,,options.DefaultChallengeScheme = JwtBearerDefaults.AuthenticationScheme;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,todostodo.csproj,File,Program.cs,98,4,F:Microsoft.AspNetCore.Authentication.JwtBearer.JwtBearerDefaults.AuthenticationScheme,,,,,options.DefaultChallengeScheme = JwtBearerDefaults.AuthenticationScheme;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,todostodo.csproj,File,Program.cs,97,4,T:Microsoft.AspNetCore.Authentication.JwtBearer.JwtBearerDefaults,,,,,options.DefaultAuthenticateScheme = JwtBearerDefaults.AuthenticationScheme;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,todostodo.csproj,File,Program.cs,97,4,F:Microsoft.AspNetCore.Authentication.JwtBearer.JwtBearerDefaults.AuthenticationScheme,,,,,options.DefaultAuthenticateScheme = JwtBearerDefaults.AuthenticationScheme;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,todostodo.csproj,File,Program.cs,76,0,T:Microsoft.Extensions.DependencyInjection.IdentityEntityFrameworkBuilderExtensions,,,,,"builder.Services.AddIdentity<ApplicationUser, IdentityRole<int>>(options =>     {         options.User.RequireUniqueEmail = true;         options.User.AllowedUserNameCharacters = ""abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ0123456789-._"";     })     .AddEntityFrameworkStores<ApplicationDbContext>()     .AddDefaultTokenProviders();"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,todostodo.csproj,File,Program.cs,76,0,M:Microsoft.Extensions.DependencyInjection.IdentityEntityFrameworkBuilderExtensions.AddEntityFrameworkStores``1(Microsoft.AspNetCore.Identity.IdentityBuilder),,,,,"builder.Services.AddIdentity<ApplicationUser, IdentityRole<int>>(options =>     {         options.User.RequireUniqueEmail = true;         options.User.AllowedUserNameCharacters = ""abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ0123456789-._"";     })     .AddEntityFrameworkStores<ApplicationDbContext>()     .AddDefaultTokenProviders();"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,todostodo.csproj,File,Program.cs,27,0,T:Microsoft.Extensions.DependencyInjection.ServiceCollectionExtensions,,,,,builder.Services.AddAutoMapper(typeof(AppMappingProfile));
